"コード","経過見出し2"
"00","スタンド前"
"01","向正面"
"02","2角"
"03","3角"
"04","4角"
"05","タスキ"
"06","バンケット"
"07","水濠"
"08","大竹柵"
"09","大土塁"
"10","赤レンガ"
"11","発馬"
"12","1角"
"13","大いけ垣"
"14","400ｍ地点"
